DADOS GERAIS

BSW	89,94		%
RGO da formação	64,5	m³/m³	
Densidade do gás produzido	0,636		(ar = 1,0)
Dist. mesa rot. cab. produção	1.333,0	m	
Temperatura ambiente a jusante (produção)	25,0	°C	
Temperatura ambiente na árvore (injeção)	3,4	°C	


OPÇÕES DE CÁLCULO

Pressão de tubo			Variável de Sensibilidade
Pressão de injeção	198,95	kgf/cm²	man.
 - Vazão Estimada de injeção		m³/d	
 - Convergir Vazão de Injeção			NÃO
Cálculo térmico			SIM
Correlação para Válvula de Pressão			Standard
Correlação para Válvula de Orifício			T-C modificado
Correlação para Válvula de Venturi			T-C modificado
Fator correção para válvula			0,29
Densidade do gás de injeção	0,641		(ar = 1,0)


OPÇÕES DE CONTORNO

Pjus e IPR Conhecidos, Calcula Vazão de Equilíbrio			
Tipo de IPR			Linear
Pressão Estática	272,68	kgf/cm²	man.
Dados para IPR			IP
Índice de Produtividade	178,25	(m³/d)/(kgf/cm²)	


DESCRIÇÃO DAS UNIDADES

DE PRODUÇÃO (de jusante [superfície] para montante [fonte]):
		Comprim	Diâm	Diâm	Ângulo	Número	T.Mon		Inj Montante	Inj Montante	Inj Montante	Fator de	Fator de	
UN	Natureza	Medido	Tubo	Rev	c/Horiz	Trechos	Amb	NV	Vazão	RGLI	RGLT	Correção	Correção	Correlação
		[m]	[in]	[in]	[graus]		[°C]		[m³/d]	[m³/m³]	[m³/m³]	[dP/dL]	[dP/dT]	
1	Aérea	29,6	6,000	0,000	90,00	1	25,0					1,0160	1,1000	Bhagwat & Ghajar
2	Marítima	540,6	6,000	0,000	81,58	11	8,8					1,0160	1,1000	Bhagwat & Ghajar
3	Marítima	339,8	6,000	0,000	76,53	7	4,7					1,0160	1,1000	Bhagwat & Ghajar
4	Marítima	216,3	6,000	0,000	68,54	5	3,5					1,0160	1,1000	Bhagwat & Ghajar
5	Marítima	142,0	6,000	0,000	56,15	3	3,4					1,0160	1,1000	Bhagwat & Ghajar
6	Marítima	100,2	6,000	0,000	37,86	3	3,4					1,0160	1,1000	Bhagwat & Ghajar
7	Marítima	81,4	6,000	0,000	13,54	2	3,4					1,0160	1,1000	Bhagwat & Ghajar
8	Marítima	464,5	6,000	0,000	1,36	10	3,4					1,0160	1,1000	Bhagwat & Ghajar
9	Marítima	1.055,9	6,000	0,000	1,36	20	3,4					1,0160	1,1000	Bhagwat & Ghajar
10	Marítima	0,1	6,000	0,000	1,36	1	3,4		0,0			0,9766	1,1000	Bhagwat & Ghajar
11	BCS	0,0	--	--	0,00	1	3,4					--	--	--
12	Marítima	210,0	6,000	0,000	1,36	5	3,4					0,9766	1,1000	Bhagwat & Ghajar
13	Poço c/ col	47,6	3,958	9,660	89,69	1	5,4					0,9766	1,1000	Bhagwat & Ghajar
14	Poço c/ col	619,1	6,276	9,660	86,94	13	30,8					0,9766	1,1000	Bhagwat & Ghajar
15	Poço c/ col	37,3	4,892	9,660	84,60	1	32,3					0,9766	1,1000	Bhagwat & Ghajar
16	Poço c/ col	387,7	6,276	9,660	81,12	8	48,1					0,9766	1,1000	Bhagwat & Ghajar
17	Poço c/ col	81,4	6,276	9,660	65,90	2	51,2					0,9766	1,1000	Bhagwat & Ghajar
18	Poço c/ col	37,2	3,958	9,660	59,65	3	52,5					0,9766	1,1000	Bhagwat & Ghajar
19	Poço c/ col	137,0	6,276	9,660	49,80	6	56,8					0,9766	1,1000	Bhagwat & Ghajar
20	Poço c/ col	31,1	3,958	9,660	43,26	3	57,6					0,9766	1,1000	Bhagwat & Ghajar
21	Poço c/ col	43,0	3,958	9,660	39,66	3	58,7					0,9766	1,1000	Bhagwat & Ghajar
22	Poço c/ col	191,2	6,276	9,660	24,57	4	62,1					0,9766	1,1000	Bhagwat & Ghajar
23	Poço c/ col	58,1	4,892	9,660	11,30	2	62,5					0,9766	1,1000	Bhagwat & Ghajar
24	Poço s/ col	201,2	4,892	4,892	4,26	5	63,2					0,9766	1,1000	Bhagwat & Ghajar
Obs: "Ângulo" é o menor ângulo c/ a horizontal, positivo se escoamento for ascendente.

DE INJEÇÃO (de montante [compressor] para jusante [árvore]):
		Comprim	Diâm	Ângulo	Número	T.Mon	Fator de	Fator de	
UN	Natureza	Medido	Tubo	c/Horiz	Trechos	Amb	Correção	Correção	Correlação
		[m]	[in]	[graus]		[°C]	[dPdL]	[dPdT]	
1	Linha Aérea	29,6	4,000	-90,00	1	25,0	1,0000	1,0000	Cálculo Monofásico
2	Linha Marítima	540,6	4,000	-81,58	11	25,0	1,0000	1,0000	Cálculo Monofásico
3	Linha Marítima	339,8	4,000	-76,53	7	8,8	1,0000	1,0000	Cálculo Monofásico
4	Linha Marítima	216,3	4,000	-68,54	5	4,7	1,0000	1,0000	Cálculo Monofásico
5	Linha Marítima	142,0	4,000	-56,15	3	3,5	1,0000	1,0000	Cálculo Monofásico
6	Linha Marítima	100,2	4,000	-37,86	3	3,4	1,0000	1,0000	Cálculo Monofásico
7	Linha Marítima	81,4	4,000	-13,54	2	3,4	1,0000	1,0000	Cálculo Monofásico
8	Linha Marítima	464,5	4,000	-1,36	10	3,4	1,0000	1,0000	Cálculo Monofásico
9	Linha Marítima	1.055,9	4,000	-1,36	20	3,4	1,0000	1,0000	Cálculo Monofásico
10	Linha Marítima	210,1	4,000	-1,36	5	3,4	1,0000	1,0000	Cálculo Monofásico


Dados de Análise de Sensibilidade

Freq. Motor [1]	Pjus [1]	QOstd	QL	Twh	Pwh	DeltaP
[Hz]	[kgf/cm²]	[m³/d]	[m³/d]	[°C]	[kgf/cm²]	[kgf/cm²]
40,0	10,00	320,8	3.189,2	75,3	156,90	61,05
40,0	15,00	304,4	3.026,0	75,1	162,42	64,92
40,0	20,00	287,9	2.861,8	75,0	167,60	68,48
40,0	25,00	270,7	2.691,2	74,8	172,56	71,79
40,0	30,00	252,6	2.511,0	74,7	177,37	74,91
40,0	35,00	233,3	2.319,1	74,5	182,08	77,87
40,0	40,00	212,6	2.113,8	74,2	186,72	80,72
40,0	45,00	190,3	1.891,7	73,8	191,34	83,45
40,0	50,00	165,7	1.646,8	73,3	195,96	86,09
42,0	10,00	345,0	3.429,4	75,4	158,55	65,20
42,0	15,00	329,9	3.279,3	75,3	164,04	69,12
42,0	20,00	314,8	3.129,6	75,2	169,20	72,74
42,0	25,00	299,4	2.976,3	75,1	174,14	76,14
42,0	30,00	283,3	2.816,2	75,0	178,93	79,37
42,0	35,00	266,3	2.647,3	74,8	183,62	82,43
42,0	40,00	248,3	2.468,2	74,6	188,22	85,37
42,0	45,00	229,1	2.277,5	74,4	192,77	88,20
42,0	50,00	208,6	2.073,1	74,1	197,30	90,94
44,0	10,00	368,7	3.665,3	75,6	160,30	69,50
44,0	15,00	354,7	3.526,1	75,5	165,76	73,45
44,0	20,00	340,9	3.388,3	75,4	170,90	77,12
44,0	25,00	326,8	3.248,5	75,3	175,84	80,59
44,0	30,00	312,3	3.104,3	75,2	180,62	83,90
44,0	35,00	297,1	2.953,6	75,1	185,29	87,06
44,0	40,00	281,2	2.795,0	74,9	189,87	90,10
44,0	45,00	264,3	2.627,3	74,8	194,40	93,02
44,0	50,00	246,4	2.449,7	74,6	198,88	95,85
46,0	10,00	392,1	3.897,8	75,7	162,16	73,94
46,0	15,00	379,1	3.768,0	75,6	167,59	77,92
46,0	20,00	366,2	3.640,1	75,5	172,71	81,63
46,0	25,00	353,2	3.511,1	75,5	177,63	85,16
46,0	30,00	340,0	3.379,4	75,4	182,41	88,53
46,0	35,00	326,3	3.243,3	75,3	187,07	91,78
46,0	40,00	312,0	3.101,1	75,2	191,65	94,90
46,0	45,00	297,0	2.951,9	75,1	196,16	97,92
46,0	50,00	281,1	2.794,7	74,9	200,62	100,84
48,0	10,00	415,2	4.127,4	75,8	164,12	78,54
48,0	15,00	403,0	4.005,8	75,7	169,52	82,53
48,0	20,00	391,0	3.886,3	75,7	174,62	86,27
48,0	25,00	378,9	3.766,5	75,6	179,53	89,84
48,0	30,00	366,7	3.644,9	75,5	184,30	93,27
48,0	35,00	354,1	3.520,2	75,5	188,96	96,58
48,0	40,00	341,2	3.391,2	75,4	193,53	99,79
48,0	45,00	327,6	3.256,9	75,3	198,04	102,89
48,0	50,00	313,5	3.116,3	75,2	202,49	105,90
50,0	10,00	438,1	4.354,4	75,9	166,18	83,28
50,0	15,00	426,6	4.240,1	75,9	171,55	87,29
50,0	20,00	415,3	4.127,9	75,8	176,63	91,06
50,0	25,00	404,0	4.015,9	75,8	181,53	94,65
50,0	30,00	392,6	3.902,7	75,7	186,28	98,12
50,0	35,00	381,0	3.787,4	75,6	190,94	101,48
50,0	40,00	369,1	3.669,1	75,6	195,51	104,75
50,0	45,00	356,8	3.546,7	75,5	200,02	107,93
50,0	50,00	344,0	3.419,6	75,4	204,47	111,02
52,0	10,00	460,7	4.579,3	76,0	168,34	88,17
52,0	15,00	449,8	4.471,4	76,0	173,68	92,19
52,0	20,00	439,2	4.365,7	75,9	178,74	95,97
52,0	25,00	428,6	4.260,5	75,9	183,62	99,60
52,0	30,00	417,9	4.154,5	75,8	188,37	103,10
52,0	35,00	407,1	4.047,1	75,8	193,02	106,50
52,0	40,00	396,1	3.937,4	75,7	197,59	109,82
52,0	45,00	384,8	3.824,7	75,7	202,09	113,06
52,0	50,00	373,1	3.708,6	75,6	206,55	116,22
54,0	10,00	483,1	4.802,1	76,1	170,59	93,20
54,0	15,00	472,8	4.700,1	76,1	175,90	97,23
54,0	20,00	462,8	4.600,2	76,0	180,94	101,03
54,0	25,00	452,8	4.501,0	76,0	185,81	104,68
54,0	30,00	442,8	4.401,3	75,9	190,55	108,21
54,0	35,00	432,6	4.300,6	75,9	195,19	111,64
54,0	40,00	422,3	4.198,2	75,8	199,76	115,00
54,0	45,00	411,8	4.093,6	75,8	204,26	118,28
54,0	50,00	401,0	3.986,2	75,7	208,71	121,50
56,0	10,00	505,3	5.023,1	76,2	172,93	98,38
56,0	15,00	495,6	4.926,5	76,2	178,21	102,41
56,0	20,00	486,1	4.831,9	76,1	183,23	106,22
56,0	25,00	476,6	4.737,9	76,1	188,09	109,89
56,0	30,00	467,2	4.643,8	76,1	192,82	113,44
56,0	35,00	457,6	4.549,0	76,0	197,45	116,91
56,0	40,00	448,0	4.452,8	76,0	202,01	120,30
56,0	45,00	438,1	4.355,0	75,9	206,52	123,62
56,0	50,00	428,1	4.255,0	75,9	210,97	126,88
58,0	10,00	527,4	5.242,5	76,3	175,36	103,69
58,0	15,00	518,2	5.150,7	76,3	180,61	107,72
58,0	20,00	509,1	5.060,9	76,2	185,62	111,55
58,0	25,00	500,2	4.971,8	76,2	190,46	115,24
58,0	30,00	491,2	4.882,7	76,2	195,18	118,81
58,0	35,00	482,2	4.793,0	76,1	199,80	122,30
58,0	40,00	473,1	4.702,3	76,1	204,36	125,72
58,0	45,00	463,8	4.610,3	76,0	208,86	129,08
